yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2024;Yaz;52;Orta Körfez;38.458.752;27.048.225;52;1;2.72;4.04;0,05;0,041;106.48;3.76;40.42;Yeþil;;8.409;Yok;Yok;6.67;;;7;1.07.2024
2024;Sonbahar;52;Orta Körfez;38.458.752;27.048.225;52;1;3.45;30.96;2.67;24.39;117.89;4.25;62.42;Yeþil (normal);;8.029;Yok;Yok;9.82;;;10;1.10.2024
2025;Kýþ;52;Ýç Körfez;;;52;1;0.24;2.41;0.14;1.73;;0.67;23.57;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;52;Ýç Körfez;;;52;1;1.12;10.73;0.57;5.55;;4.84;69.23;;;;;;;;;4;1.04.2025
