yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;SK3;S.Hisar Kýyýsý;3.816.895;2.680.595;SK3;1;0.02;2.24;0.73;1.37;;0.19;16.15;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;SK3;S.Hisar Kýyýsý;3.817.015;2.678.813;SK3;1;3.39;16.78;6.83;30.33;;4.69;63.78;;;;;;;;;4;1.04.2025
