yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;GZB;Güzelbahçe;3.837.547;268.632;GZB;1;0.05;2.49;3.31;2.57;;0.16;29.12;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;GZB;Güzelbahçe;3.837.506;2.686.335;GZB;1;0.12;2.83;1.93;1.32;;0.44;21.74;;;;;;;;;4;1.04.2025
