yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;PPT;Pasaport;3.842.999;2.713.381;PPT;1;0.17;4.39;0.15;2.04;;0.44;25.57;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;PPT;Pasaport;3.842.994;2.713.392;PPT;1;0.33;3.77;0.32;2.36;;1.19;27.83;;;;;;;;;4;1.04.2025
