yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;BKL;Bayraklý;3.845.853;271.643;BKL;1;0.35;10.99;0.95;2.95;;0.75;34.43;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;BKL;Bayraklý;3.845.934;2.716.427;BKL;1;0.33;12.34;0.27;3.21;;1.49;28.85;;;;;;;;;4;1.04.2025
