yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;URL;Urla;3.836.077;2.679.426;URL;1;0.03;2.32;1.27;0.52;;0.23;12.98;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;URL;Urla;3.836.035;2.679.398;URL;1;0.27;0.68;1.42;0.59;;0.71;20.71;;;;;;;;;4;1.04.2025
