yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;SEV;Sahilevleri;3.840.891;2.700.935;SEV;1;0.04;1.72;2.05;1.99;;0.28;25.37;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;SEV;Sahilevleri;384.087;2.700.953;SEV;1;0.18;2.82;1.32;2.18;;0.75;23.95;;;;;;;;;4;1.04.2025
