yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;56;Ýç Körfez;;;56;1;2.46;15.04;3.61;87.46;;3;128.92;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;56;Ýç Körfez;;;56;1;3.49;22.39;26.28;31.11;;7.67;120.6;;;;;;;;;4;1.04.2025
