yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;GTP;Göztepe;3.839.975;2.708.328;GTP;1;0.02;4.11;0.07;0.45;;0.29;16.33;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;GTP;Göztepe;3.839.983;2.708.312;GTP;1;0.61;6.24;1.05;5.72;;1.61;34.54;;;;;;;;;4;1.04.2025
