yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;57;Ýç Körfez;;;57;1;5.35;25.53;9.16;137.72;;5.84;160.3;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;57;Ýç Körfez;;;57;1;1.39;7.77;4.08;5.32;;3.83;50.06;;;;;;;;;4;1.04.2025
