yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;FK2;Foça Kýyýsý;3.874.186;2.683.996;FK2;1;0.42;6.68;2.11;0.88;;0.55;15.82;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;FK2;Foça Kýyýsý;3.874.197;268.399;FK2;1;0.03;1.1;0.11;0.39;;0.25;15.75;;;;;;;;;4;1.04.2025
