yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;FK3;Foça Kýyýsý;3.874.526;2.686.521;FK3;1;0.02;2.22;1.17;0.57;;0.15;14.52;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;FK3;Foça Kýyýsý;3.874.515;2.686.515;FK3;1;0.02;0.79;0.39;0.19;;0.23;22.7;;;;;;;;;4;1.04.2025
