yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;SK4;S.Hisar Kýyýsý;3.814.933;2.682.308;SK4;1;0.02;0.94;0.41;0.51;;0.12;14.61;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;SK4;S.Hisar Kýyýsý;3.814.911;2.682.313;SK4;1;0.02;0.25;0.05;0.29;;0.23;8.62;;;;;;;;;4;1.04.2025
