yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;MK1;Mordoðan;;;MK1;1;;;;;;;;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;MK1;Mordoðan;;;MK1;1;0.02;0.06;0.05;0.04;;;;;;;;;;;;4;1.04.2025
