yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2024;Yaz;53;Orta Körfez;38.447.452;27.052.267;53;1;1.41;1.63;0.24;0.21;112.92;2.72;44.29;Yeþil;;8.338;Yok;Yok;7.022;;;7;1.07.2024
2024;Sonbahar;53;Orta Körfez;38.447.452;27.052.267;53;1;1.19;13.47;4.5;4.23;104.85;1.88;41.93;Yeþil (normal);;7.942;Yok;Yok;8.361;;;10;1.10.2024
2025;Kýþ;53;Ýç Körfez;;;53;1;0.02;4.06;0.46;0.36;;0.26;11.52;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;53;Ýç Körfez;;;53;1;0.41;4.23;0.05;0.31;;1.34;36.12;;;;;;;;;4;1.04.2025
