yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2024;Yaz;54;Orta Körfez;38.445.938;27.027.055;54;1;1.32;1.42;0,05;0,041;100.7;2.54;39.66;Yeþil;;8.393;Yok;Yok;6.244;;;7;1.07.2024
2024;Sonbahar;54;Orta Körfez;38.445.938;27.027.055;54;1;1.64;14.27;5;8.49;105.74;2.22;42.79;Yeþil (normal);;7.988;Yok;Yok;8.481;;;10;1.10.2024
2025;Kýþ;54;Ýç Körfez;;;54;1;0.02;2.46;0.23;1.37;;0.38;29.39;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;54;Ýç Körfez;;;54;1;0.59;7.49;0.25;0.91;;1.97;36.99;;;;;;;;;4;1.04.2025
