yil;mevsim;Sta_no;konum;enlem_y;boylam_x;sta_name;Derinlik;OPO4_mM;SIO2_mM;NO3NO2n_mM;NH4N_mM;DO;TP_mM;TN_mM;Renk;Seki;pH;yuzer;Karbon_kalintilari_ve_yuzen_maddeler;cozunmus_oksijen_mgL;Intestinal_entrokok_koloni100ml;Fekal_Koliform_koloni100ml;Ay;Tarih
2025;Kýþ;SK1;S.Hisar Kýyýsý;3.816.501;2.678.238;SK1;1;0.02;0.37;0.11;1.03;;0.11;13.31;;;;;;;;;1;1.01.2025
2025;Ýlkbahar;SK1;S.Hisar Kýyýsý;3.816.491;2.678.308;SK1;1;0.04;0.24;0.05;0.04;;0.12;4.5;;;;;;;;;4;1.04.2025
